MAXIMUM_TEMPERATURE;MINIMUM_TEMPERATURE;CALCULATED_RADIATION;RAINFALL;WINDSPEED;HUMMAX;E0;ES0;ET0
35.2;18.1;22126;0;;96;;;7.26
38;20;23694;0;;95;;;8.06
31.7;19.1;19266;0;;96.3;;;6.08
30;17.3;19115;0;;95.2;;;5.67
27.5;15.9;16879;0;;95.1;;;4.93
29.2;15.3;19649;0;;96;;;5.63
28.7;15;19721;0;;96.6;;;5.73
30.5;14.1;20500;0;;96.9;;;6.2
30.3;16.8;17191;0;;95;;;5.09
29.3;19;14906;0;;95;;;4.84
33.3;17.8;19371;0;;95;;;6.33
33.2;20.2;16399;0;;80.4;;;5.9
35;22.1;17321;0;;90.1;;;5.97
36.7;22.4;19351;0;;95.2;;;6.42
33.7;22;17830;0;;96;;;5.78
27.8;19;10964;0;;95;;;3.95
28.4;19;11055;0;;95;;;4.03
30.5;20;14811;0;;94.9;;;4.81
31.5;18.6;18101;0;;95;;;5.76
28;17;15044;0;;96.8;;;4.75
28.7;16.2;15200;0;;95.2;;;4.67
29;18;13512;0;;95;;;4.59
28.9;18.9;14030;0;;88.5;;;4.67
28.6;17.1;14613;0;;94.8;;;4.72
31.4;17.4;16327;0;;94.8;;;5.34
33.3;19.9;17379;0;;90;;;5.71
27.8;19.3;11203;0;;97.4;;;3.62
27;17.7;10130;29.8;;97.3;;;3.57
27.2;18.9;8631;5.2;;95.8;;;3.32
30.2;19.8;13270;0;;95.1;;;4.27
29.9;19;14351;0;;95.4;;;4.44
28.8;17.6;13496;0;;95.7;;;4.41
30.7;17.9;15609;0;;95.7;;;5.3
29.8;18;13053;0;;95.6;;;4.47
28.2;19.8;11282;0;;95.5;;;3.87
32.8;17.2;14995;0;;92.3;;;5.41
31.9;22.1;12001;6;;95;;;4.63
29;20.3;10120;0.2;;95.1;;;3.8
32.3;18.9;14538;0.2;;95.1;;;5.04
27.3;19.8;8239;6.2;;95.8;;;2.86
24.8;18.4;8202;1;;92.7;;;3.21
26.4;14.9;12622;0;;96.2;;;4.03
27.9;15.1;12997;0;;91;;;4.19
29;17;13347;0;;92.5;;;4.66
29.9;16.5;14629;0;;93.8;;;4.92
29.9;16.1;14506;0;;94;;;4.99
30.8;16.5;14546;0;;93.8;;;5.09
29.8;17.5;11216;0;;94.5;;;4.47
30.6;20.4;11223;0;;92.4;;;4.19
30.1;19;11671;0;;94;;;4.29
31.1;18.5;12212;0;;94.8;;;4.54
30.6;19.8;11651;0;;95;;;3.93
28.5;18.4;10844;0;;95;;;3.48
29.1;16.9;11515;0;;95;;;4.17
30.3;18.2;9764;0;;89.9;;;3.77
33.5;22;11418;0;;88;;;4.59
36.1;21.6;14323;0;;93;;;5.39
33.8;20.4;12813;0;;95.6;;;4.55
30.8;20.5;7956;0;;95;;;3.37
29.3;23.1;6263;0.2;;95;;;2.87
26.8;20.2;6494;15;;97;;;2.52
26.6;17.7;8478;0;;96;;;2.87
26.7;16.5;8975;0;;97;;;3.04
29.5;16.9;10487;0;;95.3;;;3.96
27.8;19;9647;0.4;;95.3;;;3.32
