MAXIMUM_TEMPERATURE;MINIMUM_TEMPERATURE;CALCULATED_RADIATION;RAINFALL;WINDSPEED;HUMMAX;E0;ES0;ET0
29;16.4;19004;0;;96;;;5.12
30;17.6;20975;0;;96;;;5.61
30;18;21636;0;;96;;;5.08
28;18;22205;0;;96;;;5.65
27.2;12.7;23047;0;;96;;;5.58
27;13;24397;0;;96;;;5.5
28;15;24034;0;;96;;;5.67
27.8;17;22509;0;;96;;;5.48
26.6;15.8;20918;0;;96;;;4.97
27.5;13;21443;0;;96;;;5.37
24;13.2;21962;0;;96;;;4.66
30.6;13;21221;0;;96;;;5.8
34;19.5;23329;0;;96;;;6.45
28;17;22895;0;;96;;;5.7
29.8;14.4;20258;0;;96;;;5.85
28;16.7;20350;0;;90;;;5.23
31;16.4;20233;0;;90;;;5.71
29;17;17874;0;;96;;;4.47
27.7;16;19794;0;;96;;;4.92
30;16.3;22015;0;;96;;;5.73
27;15;21470;0;;96;;;4.8
27;15.8;15835;0;;96;;;4.37
28;17;19213;0;;96;;;4.46
26;19;18794;0.4;;96;;;4.68
25;18;16308;0;;96;;;3.64
27.2;17;18452;0;;96;;;4.09
26;19;18382;0;;96;;;4.4
31;16;20499;0;;96;;;5.6
28;18;17793;0;;96;;;4.29
26;15;17286;0;;96;;;4.03
25;13;14493;0;;96;;;3.66
26.6;13;18181;0;;96;;;4.98
29;12.8;18430;0;;96;;;4.76
31.8;17;19404;0;;92;;;5.36
31.2;17;19122;0.6;;96;;;5.09
30;19;13214;0;;96;;;4.16
26;18;13295;4.4;;96;;;3.32
22.2;16;10809;2.2;;96;;;2.53
26;14;13813;0;;96;;;3.34
25;15.2;16598;0;;96;;;4.13
28;17;17415;0;;96;;;4.3
24;18;11938;1;;96;;;2.91
30;18;12843;7.6;;96;;;3.91
28;17.4;7447;0.4;;96;;;2.74
30;22.2;9128;0;;96;;;3.06
30.7;20;6608;0;;96;;;3.61
27;17;14670;0;;96;;;3.67
31;16.8;16798;0;;96;;;4.6
25;17;15216;2;;96;;;2.93
27.3;15;13126;20.6;;96;;;3.89
23.8;16;8640;1;;96;;;2.47
25;15;12907;21.4;;96;;;3.17
21;15;8813;0;;96;;;2.25
23;12;14998;0;;96;;;3.16
26;12.7;15437;0;;96;;;3.56
22;15;12735;26.6;;96;;;2.44
22;14;13015;2;;96;;;2.79
21.2;13;9537;10;;96;;;2.01
21;11;12955;5;;96;;;2.4
19;12;7153;20;;96;;;1.88
18;9.7;12581;0;;96;;;2.21
22;3.2;14377;2;;96;;;2.26
23;16;11135;0;;96;;;2.23
22;16;6884;0;;96;;;1.73
20;12.2;12470;3;;96;;;2.04
19;11;11684;0;;96;;;2.29
19;10;13019;2.4;;96;;;2.55
16;8.8;12613;7.8;;96;;;2.12
16.8;7;13058;0;;96;;;2.24
16;6;12544;0;;96;;;2.09
18.5;7.6;10846;0;;96;;;2.4
17.7;6;7992;0;;92;;;2.48
18;7;11756;0;;96;;;2.23
18.3;6.8;10443;0;;96;;;2.19
17;11;11503;0;;96;;;1.71
15;11;7114;18.6;;96;;;1.09
20.2;9;12311;0;;96;;;2.11
19;7;4803;3.2;;96;;;1.79
18.4;12;11440;2.4;;96;;;1.8
15;10.2;8868;0;;85;;;1.72
20.6;10;6603;0;;96;;;2.01
17;10.8;10584;0;;96;;;1.54
17;14.3;4497;0;;90;;;1.55
18;12;9755;0;;96;;;1.66
21;9;8020;0;;96;;;1.96
18.5;9;9302;2.8;;96;;;1.72
13.7;6;7382;9.4;;96;;;1.02
10.5;4;4690;10;;96;;;0.7
17;10;3933;17.4;;96;;;1.61
12;8.8;4612;32;;96;;;0.76
11;7.4;5104;16.6;;96;;;1.09
13;6.3;3657;10;;96;;;1.12
9.2;4.2;3762;4.6;;96;;;0.71
11;4;5410;2.4;;96;;;1.14
10;7;3588;3;;96;;;1.13
12;4;9817;0;;85;;;1.78
6.7;0.4;7728;1.8;;96;;;0.76
12;1.8;9631;0;;96;;;1.21
11;6;8927;0;;96;;;1.25
11.2;1.6;6640;0;;96;;;1.55
11;0.2;3856;0;;96;;;1.62
15;6;9281;0.4;;96;;;1.7
12.2;8;9066;28;;96;;;0.9
10;6.2;6797;13.6;;96;;;1.17
11.2;3;9877;3;;96;;;1.11
10.2;0.7;3667;9.2;;96;;;1.27
10.2;6;5824;12.4;;92;;;1.4
12.8;4.6;3403;0;;96;;;1.42
9;5;4384;4.4;;96;;;1.11
10;3.8;8693;0;;96;;;1.19
11.8;1.8;9766;0;;96;;;1.33
12;3;9295;0;;92;;;1.54
14;4.5;8674;0;;92;;;1.56
14;2;7934;0;;96;;;1.67
12;0.2;7935;0.2;;96;;;1.32
14;1.8;8307;0;;96;;;1.48
12;8;8682;3;;91;;;1.09
16.8;5;9957;0;;95;;;1.52
14.8;7;9333;0;;96;;;1.12
11;5.5;7972;1.6;;96;;;0.84
11.8;4.8;5767;0.6;;96;;;0.85
13;9.2;6512;0;;91;;;1.34
15;6;3425;0;;96;;;0.99
17;5.8;9160;0;;96;;;1.38
16;5;10018;0.2;;96;;;1.34
13.8;6.7;9664;0;;96;;;1.13
13.7;3.3;8803;0;;96;;;1.16
14.7;5;10172;0.4;;96;;;1.26
16.2;4;8109;0;;96;;;1.71
12;4.4;7762;0;;96;;;1.26
14;8;9320;0;;96;;;1.24
13.3;6;9020;0.2;;96;;;1.07
15;6;9524;0.2;;96;;;1.21
14;8;3730;0;;96;;;0.83
16.3;6.3;5625;0;;96;;;1.21
20;6;4556;0.4;;96;;;2.16
15.6;2;9079;0;;96;;;1.3
15;3.5;10112;0.2;;96;;;1.51
16;7.5;10023;1.4;;96;;;1.72
14;8;8615;0;;96;;;1.37
10.6;7;8302;1.2;;96;;;1.01
9;4;6953;0;;90;;;1.15
13;2;3845;0;;93;;;1.73
12;0;4012;0;;96;;;1.43
10;0.8;10840;0;;96;;;1.3
14.5;2;11803;0;;96;;;2.03
14;1;11779;0.2;;96;;;1.96
13;5;9965;0;;94;;;1.63
15;5.2;8787;0;;96;;;2
14;3;5773;0;;96;;;1.71
11.6;5;9982;0;;94;;;1.31
13;5;9776;0;;95;;;1.59
13;0;12595;0;;96;;;1.55
14;1;12753;0;;96;;;2.21
13;-1.4;10377;0;;96;;;1.73
12.6;0.4;11190;0;;96;;;1.89
13.6;0;11062;0;;96;;;2.08
13;3;11227;0;;96;;;1.78
10;6.6;12288;3;;96;;;1.31
14;6;12749;1.2;;96;;;1.86
12;4;11919;0.4;;96;;;2
9.8;5;9863;0;;96;;;1.83
12;2.2;12474;4.4;;96;;;1.42
14;3.7;12349;2.6;;96;;;1.98
13.5;1.7;4773;0;;96;;;1.53
15;5;13577;1.6;;96;;;1.98
9.2;6.8;5722;1;;89;;;1.69
9;4.3;11282;2.4;;96;;;1.8
9;1.4;4985;0;;94;;;1.56
12;1.5;10346;0;;93;;;2.22
9.3;0;8172;1.8;;96;;;1.7
14;8;10533;0;;90;;;2.08
14;8.8;13667;0.8;;96;;;1.99
16;7;14738;0;;96;;;2.54
15;7;12933;0;;92;;;2.47
13;9;14439;20.4;;96;;;2.12
17;5.6;5777;0.4;;96;;;1.73
15;3;5498;0;;96;;;1.48
15;3;8298;0.6;;96;;;1.79
20;2.8;15965;0;;96;;;3.6
21.6;1.7;17036;0;;96;;;3.5
18;4;17139;0;;96;;;2.92
14.3;6.4;16007;6;;96;;;2.66
13.2;7;15428;14;;96;;;2.13
12.2;6.7;11274;3.6;;96;;;1.73
16.7;9;10923;1.2;;96;;;2.1
15.7;8.7;6049;0.4;;96;;;1.54
19.8;7;7294;0;;96;;;2.35
19.2;10;13036;0;;95;;;2.61
22;11;15904;0;;95;;;3.63
19;15;13805;0;;81;;;3.21
20;12;13262;0;;95;;;2.96
16.2;11;6429;2;;96;;;1.76
17.2;7.2;6493;0;;96;;;1.91
16.8;5.8;10732;0;;96;;;2.22
17.7;5;17406;0;;96;;;3.13
19.5;8;15228;0;;96;;;3.27
19.2;10.5;16402;0;;91;;;3.35
16;10.3;17103;0;;89;;;3.09
17;5;15759;0;;96;;;3.15
15.2;3.8;6940;0.2;;96;;;1.54
15.2;8;14700;1.8;;96;;;2.52
20;4;8655;0;;96;;;3.11
15.6;6;8427;0;;96;;;1.74
21;10.7;18017;0;;96;;;3.87
21;10.7;7459;0;;96;;;2.47
23.8;10;19364;0;;96;;;4.33
18.8;10;12468;9;;96;;;3.23
16;8.7;15926;5.2;;96;;;2.93
18;8.4;7611;0;;96;;;2.54
13;10;12623;8;;96;;;2.13
16;7.3;11154;0;;96;;;2.31
17.2;7.6;7902;0;;96;;;2.31
16;6.4;19350;0;;94;;;3.64
16.8;7.8;18410;0;;85;;;3.64
18;4;19146;0;;96;;;3.79
17;4;17665;0;;96;;;3.33
17;5;21690;0;;96;;;3.68
18;6.4;21482;0;;96;;;3.86
12;7;17419;32;;96;;;2.88
16;8;16652;28;;96;;;3.09
15.4;6;10167;0;;96;;;2.31
17;7;11961;0;;96;;;2.52
19;6.3;19840;0;;96;;;3.89
22;7;22219;0.6;;96;;;4.93
19;6.4;21555;0;;96;;;4.32
19;5;22636;0;;96;;;4.59
20;6;23173;0;;96;;;4.76
19.5;9;23269;0;;96;;;4.56
20;13;20933;0;;96;;;4.32
21;13;14704;0;;96;;;3.75
16;9;10773;9.2;;96;;;2.09
11;7;13280;2;;96;;;2.75
14;7;8875;0.4;;96;;;2.51
13;5;9820;4;;96;;;2.51
13;3;16828;3.4;;96;;;3.2
16;2.7;20943;0;;96;;;4.13
15;4.3;21018;1.6;;96;;;3.75
15;8;23688;0;;96;;;4.08
18;7.2;23878;22;;96;;;4.63
14.3;7;24180;7;;96;;;4.15
15.7;4;14936;1;;96;;;3.06
17;4;11233;4.6;;96;;;2.77
15;6.4;20176;0;;96;;;3.59
18;5;24236;0;;96;;;4.22
16.8;6.7;18581;3;;96;;;3.85
20;10.3;22418;4.8;;96;;;4.21
14;10;9966;8.4;;96;;;2.19
15;6.8;15180;0;;96;;;3.22
15;4.7;11082;10;;96;;;2.46
14.2;6.4;18499;13.4;;96;;;3.11
14;7.5;11853;1.2;;96;;;2.65
21.8;4;9928;0;;96;;;3.82
16;6;25236;9.2;;96;;;4.34
15;5.7;25288;2.8;;96;;;3.98
16;8.7;15483;1;;96;;;3.06
17;7;18191;0;;96;;;3.7
19;9.7;21252;0;;96;;;4.34
19;8.8;23503;1.8;;96;;;4.42
16;11;18541;0;;96;;;3.32
15;11.9;15782;0;;96;;;3.32
15.2;6;12901;1.2;;96;;;3.01
16.2;4;20748;0;;96;;;3.95
18;5.4;23234;0;;96;;;4.76
20;7;25138;0;;96;;;5.37
21;10.2;25524;1.8;;96;;;5.51
21;8.8;25557;0;;96;;;5.49
21;7;27696;0;;96;;;6.01
23;10;26908;0;;96;;;5.62
24;11;26001;0;;96;;;6.23
21.8;8;24858;0;;96;;;5.39
22;10;25705;0;;96;;;5.72
25;12;27841;0;;96;;;6.64
26;10;27866;0;;96;;;6.81
27.8;12;28359;0;;93;;;7.24
26.3;13;26503;0;;96;;;6.4
16.8;14.7;23002;7.2;;96;;;4.28
21.2;14;21023;0;;96;;;4.68
22.8;14.7;11525;0;;96;;;3.3
22.6;12.2;10717;0;;96;;;3.35
22.8;15.4;19426;0;;96;;;4.42
26.8;16.4;24610;0;;96;;;6.33
23;17;20862;2.8;;96;;;4.71
20;14.8;23342;0;;96;;;4.78
23;12.4;15241;0;;96;;;4.26
28;10.4;21952;0;;96;;;5.96
22.8;13.3;29133;0;;96;;;6.05
23.3;9.7;26671;0;;96;;;5.5
28;13.4;25149;0;;96;;;6.55
30;13.2;28447;0;;96;;;7.75
33.7;15.2;29039;0;;90;;;7.65
33.7;21;27278;0;;96;;;8.02
26;16;26692;0;;96;;;6.08
22;11;25164;0;;96;;;5.56
22;9;26810;0;;96;;;5.86
23;9.6;28102;0;;96;;;6.02
25;12.2;28453;0;;96;;;6.03
29;12.5;26921;0;;96;;;6.85
28;13.8;27152;0;;96;;;6.7
28;15;28791;0;;96;;;7.1
29;17;28784;0;;96;;;6.84
31;15.4;26662;0;;96;;;7.23
32.8;16.2;28532;0;;96;;;7.95
22;14.8;28757;0;;96;;;5.98
22;14;27924;0;;96;;;6.08
28;12.7;28968;0;;96;;;7.58
27.7;13;28837;0;;96;;;7.32
29.5;15;26476;0;;96;;;7.25
31.7;14;28102;0;;90;;;7.92
32;16;28906;0;;90;;;8.04
35.7;15;27599;0;;90;;;8.62
38;17.4;26994;0;;96;;;8.76
29;19;26857;0;;96;;;6.59
28.8;17.2;26836;0;;96;;;7.14
31;16.3;25877;0;;96;;;7.11
31;18.2;27960;0;;96;;;7.33
33.7;19;27935;0;;96;;;7.97
31.3;19.7;27674;0;;96;;;7.27
30;19;25427;0;;96;;;6.93
28;18;27268;0;;96;;;6.37
28;21;26654;0;;96;;;6.29
30;19;27323;0;;96;;;7.35
29.7;18.6;27641;0;;96;;;7.23
29;18.4;27024;0;;96;;;6.87
30;16;26407;0.2;;96;;;6.86
31;16;27651;0;;96;;;7.32
33;17;27147;0;;96;;;7.65
36.8;18;27456;0;;96;;;8.54
37.8;22.2;26487;0;;80;;;8.59
30;21;26677;0;;96;;;6.56
30.3;19;25939;0;;96;;;6.73
26;19;24853;0;;90;;;6.05
25;18;27237;0;;96;;;5.96
27.8;15.4;26264;0;;96;;;6.58
30;15;23329;0;;96;;;6.65
31;17.3;26741;1.2;;96;;;7.16
28;20;26573;1.6;;96;;;6.35
26.8;16;19617;0.2;;96;;;5.38
25;18.5;19685;0;;96;;;4.66
26.2;17.6;25718;0;;96;;;5.7
29;17;25431;0;;96;;;6.44
32;16.8;26287;0;;96;;;7.12
30.6;18;25425;0;;96;;;6.76
34;16;26048;0.2;;96;;;7.77
33;19.2;26324;0;;96;;;7.42
28.8;19.7;26484;0;;96;;;6.61
28.6;21;25052;1.8;;96;;;6.03
31;20;13533;7.4;;96;;;4.64
29;20;19028;1;;96;;;5.09
28;19.8;18628;0;;96;;;4.69
28;17.3;14845;0;;96;;;4.13
29;19;18840;0.2;;96;;;5.02
28.4;19;25176;0;;96;;;5.88
28.2;19;24423;0;;96;;;5.61
29;19;26510;0;;96;;;6.49
30;16;24261;0;;96;;;6.33
28;13.8;24511;0;;96;;;5.79
31;16;24425;0;;96;;;6.72
30;15.5;24116;0;;96;;;6.27
32;19;24690;0;;96;;;6.82
33.2;18;22063;0;;96;;;6.69
34;16.7;22965;0;;96;;;6.81
35.2;21;23093;0.4;;96;;;7.12
33;19.8;20923;0;;96;;;6.29
32;17.6;21814;0;;96;;;6.2
30;19;22372;0.2;;96;;;5.58
33;19;22491;0;;96;;;6.37
31.7;21.2;20881;0;;96;;;5.8
30.3;21;21000;0;;96;;;5.56
29;21;18113;0;;96;;;4.8
32;21;16420;0;;96;;;5.2
32;20;20275;0;;96;;;5.85
30;18;19644;0;;96;;;5.24
30;18;19543;0;;96;;;5.29
28;18.5;21233;0;;96;;;5.06
27.2;16.2;21123;0;;96;;;4.75
30;18.6;16936;0;;96;;;4.84
30;19;20379;0;;96;;;5.38
34.2;17.5;20268;0;;96;;;6.18
30;19;20362;3.8;;96;;;5.12
26.8;17;20247;3.2;;96;;;4.81
26;16.8;14809;0.2;;96;;;3.66
27;16;15021;0;;96;;;3.8
27.6;16;17157;0;;96;;;4.32
29;16.4;17757;0;;96;;;4.77
29;16.3;18752;0;;96;;;5
29;16;19635;0;;96;;;4.96
30;17.8;19612;0.2;;96;;;5.08
32;17;19388;0;;96;;;5.56
33;17.7;29510;0;;96;;;7.01
27;17.3;16002;0.4;;96;;;3.86
26;16;18427;0;;96;;;4.26
30;16;18109;0;;96;;;4.83
28;19.8;18082;0;;96;;;4.28
23;15.8;17478;24.4;;96;;;3.76
26;14;13444;0;;96;;;3.93
29;18.7;7176;1;;96;;;3.1
26;18;13430;0;;96;;;3.39
24.7;14.6;11639;0;;96;;;3.3
23.5;13;15369;0.2;;96;;;3.42
26;12.4;15439;0;;96;;;3.83
27;15;16151;0;;96;;;4.2
27.2;14.4;16761;0;;96;;;4.21
26.3;15.4;16544;0;;96;;;4.28
21.8;11;15694;0;;96;;;3.42
24;14.7;9549;0.4;;96;;;2.6
29.7;16;14021;0;;95;;;4.54
32;20;13021;0;;92;;;3.94
28;17;14413;37;;96;;;3.73
22;16;13420;22;;96;;;2.85
21.2;14.8;7566;27;;96;;;2.09
20;15;9569;20.4;;96;;;1.97
22;13.6;8624;4;;96;;;2.36
21;13;5729;0;;96;;;2.03
22.5;11;12279;0;;96;;;3.02
22;9.6;7798;0;;96;;;2.17
16;13;14160;15.2;;96;;;2.39
15.8;9.4;12798;0.4;;96;;;2.36
13.2;7;5846;8.8;;96;;;1.22
18;8.8;8078;3;;96;;;2.39
20;11.2;5319;0;;87;;;2.33
23;11.4;11642;0;;92;;;2.79
23;11.5;10740;0;;96;;;2.55
23;13.8;11363;0;;96;;;2.81
21;12;12530;13.8;;96;;;2.22
21;11;11560;0;;96;;;2.24
18;10;8108;13.4;;96;;;1.82
19;9;11132;3;;96;;;2.25
12;9;6499;28.8;;96;;;1.02
18.8;7;11554;0;;96;;;1.9
20.8;12;4707;0;;96;;;1.75
19;11.4;12868;0;;96;;;1.97
21;15;11940;1.8;;96;;;1.94
18;9.8;7459;5.2;;96;;;1.99
15;9;4589;12;;96;;;1.65
18.5;7;10333;0;;96;;;2.52
14.8;5.7;7045;0;;96;;;1.28
17;13.7;10599;0;;85;;;2.03
15;6.7;4265;0;;96;;;1.6
17;5;7506;0;;96;;;1.98
17;5;9855;0;;96;;;2.03
20.2;6;10624;0;;96;;;2.26
16;9;10964;11.4;;96;;;1.59
15;6.8;10535;10.6;;96;;;1.29
16;11.5;5825;12;;96;;;1.58
15;12;4472;0;;79;;;1.97
17;13;6142;2.4;;96;;;1.34
17;12;9424;10.6;;96;;;1.26
14.7;10;4090;19.4;;96;;;0.95
14.6;6.8;4393;0.6;;96;;;1.34
15;5.5;4425;0;;96;;;1.6
15.7;6;6584;0;;96;;;1.64
13;8.8;9449;6;;96;;;1.39
17;8;8208;0;;96;;;1.65
19.3;8;3709;0;;96;;;1.62
18;8;8698;0;;96;;;1.51
18;7;8520;0;;96;;;1.61
17.5;7;9185;0;;96;;;1.56
14;9.7;8238;1.4;;96;;;1.06
13;10.8;8646;3.2;;96;;;0.92
14;10;3567;0;;96;;;1.02
17;9;3547;0.2;;96;;;1.33
17;6.3;3529;0;;96;;;1.34
15;5.3;4584;0.2;;96;;;1.15
12;6;6388;0;;96;;;1.46
11.3;0;8684;0;;96;;;1.73
13.7;-2;7092;0;;96;;;1.6
11;2.8;8817;0;;96;;;1.39
10;-1;9992;0;;89;;;1.54
10;2.2;3615;0;;89;;;1.36
12.4;3;8626;0;;96;;;1.45
12.7;3;6319;0;;96;;;1.49
15;3;8469;0;;96;;;1.82
14;1;7407;0;;96;;;1.59
14.4;5.3;8693;0;;96;;;1.36
15.7;3;8561;0;;96;;;1.52
13;1;5046;0;;96;;;1.1
14;11;8428;0.4;;96;;;1.27
14;11;4489;0;;94;;;1.72
12.7;10;6520;0;;87;;;1.67
14.4;8.7;5353;0;;96;;;1.03
15;6;3878;0;;96;;;0.82
14.8;4;10042;0;;96;;;1.13
13;3;10140;0;;96;;;1.9
12.8;-1.8;8589;0;;96;;;1.57
13;1.3;10180;0;;96;;;1.14
13.4;0;10231;0;;96;;;1.23
11;0;8827;0;;92;;;1.62
12;-4;10303;0;;96;;;1.46
14;-1.5;10337;0;;96;;;1.28
15;0;8587;0.4;;96;;;1.6
13.8;1;8865;0;;96;;;1.44
12;1;10286;0;;96;;;1.27
12.8;2;8866;0;;96;;;1.46
13.8;2;8965;0;;96;;;1.37
14.4;1;10602;0;;96;;;1.52
14;1;10630;0;;96;;;1.7
15;2.4;9084;0;;96;;;1.57
17.2;5;9000;0;;96;;;1.94
15.8;5;6787;0;;96;;;1.6
13.8;4;7279;0.8;;96;;;1.06
16.5;8;9209;0;;96;;;1.72
16;6;10950;0;;96;;;1.51
15;3.3;11090;0;;96;;;1.51
14;3;9042;0;;96;;;1.26
13.7;-1;8302;0;;96;;;1.26
12;1;9492;0;;96;;;1.26
13;0.7;9487;0;;96;;;1.37
11.2;8;7525;0;;96;;;1.1
11.8;8;6546;0;;96;;;1.27
11;6;7056;6.4;;96;;;1.07
10.4;6;4118;7;;96;;;0.98
17;7;5469;0.8;;96;;;1.71
14;9;4958;14.6;;96;;;1.38
11;9;9275;15.6;;96;;;1.09
12.3;8;4836;12.2;;96;;;1.01
13.2;9.5;4881;0;;93;;;1.42
13;8;9730;0;;90;;;1.56
13;5;12031;0;;95;;;1.85
15;3;9725;0;;96;;;2.16
15.8;1.5;10608;0;;96;;;2.16
14;4;11576;0;;96;;;1.98
15;4.3;11966;0;;96;;;1.95
14;4;10759;0;;96;;;1.61
13;10.4;6398;0;;92;;;1.38
14;7;10607;0;;96;;;1.6
14.3;7;5685;0;;96;;;1.5
16.7;9;5131;0;;96;;;1.98
16.8;5.2;5338;0;;96;;;1.98
16;4;12687;0;;96;;;2.25
13.8;4.8;13811;0;;96;;;1.73
14.5;4;14234;0;;96;;;2.05
16;4.6;5090;0;;96;;;1.83
15;3;8897;1.2;;96;;;1.84
11;4;9703;9.2;;96;;;1.44
13.3;1.7;7767;0;;96;;;1.5
13.6;4;13795;0;;96;;;1.85
11.2;8;10736;0;;77;;;2.22
11;3;13082;0;;96;;;2.08
11.6;5.2;8071;0;;80;;;2.14
10;4.7;11252;0;;82;;;1.95
11;2;11774;0;;90;;;2.28
14;-2;5498;0;;96;;;2.34
13.8;-1;14807;0;;96;;;2.34
16;1.5;16805;0;;96;;;2.9
14;4.4;14758;0;;96;;;2.56
14;8.4;13605;4.8;;96;;;2.12
16;7.7;6241;1.8;;96;;;2.23
17.6;6.6;6748;0;;96;;;2.6
16;5;11363;0;;96;;;2.69
15;5;15679;0;;96;;;2.81
18;7.3;16719;0;;96;;;3.04
18;11;7385;0;;91;;;2.36
19;12;6175;0;;75;;;3.22
16.8;12;6238;6.6;;96;;;1.95
18;9.7;6302;0;;96;;;2.32
17;8;14846;0;;96;;;3.05
17.8;6.2;18641;0;;96;;;3.27
18;9;17930;0;;85;;;3.69
13.8;9.3;11681;0;;96;;;2.33
14.3;3.5;6621;0.8;;96;;;2.14
13;6;15996;0;;96;;;2.53
13.3;6;8679;0;;96;;;2.1
15;10;15452;0;;93;;;2.75
15;12.3;12696;0;;91;;;2.46
16;7;20083;0;;96;;;3.29
19;5;12036;0;;96;;;3.03
14.3;10;16590;0;;96;;;2.86
16.2;7.5;7530;1.8;;96;;;2.07
16;4;14009;0;;96;;;2.76
16;8.3;18134;0;;96;;;3.21
16;10.7;12825;0;;96;;;2.73
16.6;11;19574;0;;96;;;3.38
13;6;15109;2.8;;96;;;2.43
10;3;7508;4.4;;96;;;1.84
11.8;6.7;7570;0.6;;93;;;2.23
11.8;7;9911;7.6;;96;;;2.17
13.3;5;17784;4;;96;;;3.07
13.8;5.8;20808;0.4;;96;;;3.46
15;5.7;21007;0;;96;;;3.23
18.3;8;16302;8.2;;96;;;3.84
14;8;10156;5;;96;;;2.47
15.3;7.8;15426;0;;96;;;2.55
21.7;9.2;14555;0;;96;;;3.94
23;13.5;20949;0;;96;;;5.08
16;12;13765;1.2;;96;;;2.79
14;10;12292;0;;96;;;2.84
15;9;14447;10.4;;96;;;3.03
16.8;9;16369;3.6;;96;;;3.4
14;9;17648;0;;93;;;3.21
14;11;8671;0;;92;;;2.45
19;7;22746;0;;95;;;5.11
18.2;3.7;25667;0;;96;;;5.09
18;3;25813;0;;96;;;4.32
16.5;4.6;19607;0;;96;;;3.9
18;3.2;22903;0;;96;;;4.8
12.3;3;18772;3;;96;;;3.36
12.3;3.6;9938;4.8;;96;;;2.54
17.8;8;23838;0;;86;;;5.18
19;5.2;26753;0;;96;;;5.55
18;3;26868;0;;96;;;4.44
21;5.5;21843;0;;96;;;4.89
24.5;6.5;24963;0;;96;;;5.95
22.3;6.3;24818;0;;96;;;5.64
28;6;24897;0;;96;;;6.87
30;12.5;24747;0;;80;;;6.91
28;13.2;27750;0;;90;;;6.72
23;10;27475;0;;93;;;5.61
25;12.5;23712;0;;93;;;5.69
19.2;11.7;22065;0;;94;;;4.54
15;9.7;13774;12.2;;93;;;3.1
19;5;25284;0;;95;;;4.98
19;7.2;27887;0;;92;;;5.38
22;9;28151;0;;91;;;5.88
26.7;12;28720;0;;93;;;6.88
25;11.2;23571;0;;94;;;6.01
22;9.2;13931;0.2;;96;;;3.65
21;13.2;24605;0;;94;;;5.14
23;12;23616;0;;95;;;5.61
22;11.2;26446;0;;95;;;5.52
22.2;9;29263;0;;95;;;6.04
25;9;29446;0;;94;;;6.98
25;12;25318;0;;94;;;6.19
26;11;26992;0;;92;;;6.69
27;12;25873;0;;93;;;6.52
28;12;26033;0;;94;;;7.02
26;13;26307;0;;95;;;6.36
26.2;13.5;29890;0;;95;;;7.12
25.8;12.2;29954;0.4;;95;;;7.08
25;13;21050;0;;90;;;5.06
18;14.2;20848;0;;92;;;4.61
24;12;10938;0;;94;;;4.01
26;12;23249;0;;95;;;6.18
24;13;19650;0.2;;94;;;5.12
25;15;29439;0;;95;;;6.51
25;14;29807;22.6;;94;;;6.64
25;14;19843;5.4;;94;;;5.17
27;13.4;18459;0;;94;;;5.37
31;14;27280;0;;93;;;7.66
26;17;25777;0;;94;;;6.25
30;17.7;10656;0;;94;;;4.81
29;18.4;25115;0;;90;;;6.75
29;18;30285;1;;92;;;7.57
25;17.3;10703;0;;93;;;3.72
24.8;16;23406;1.2;;93;;;5.8
21.8;14.6;23186;18.2;;94;;;5.12
24;14.4;18969;0;;93;;;5.14
27;12.2;26857;3.2;;93;;;7.02
24;14.5;30114;1.2;;92;;;6.69
23;12.5;30333;0;;95;;;6.36
24;12;23362;0;;95;;;5.61
23.2;13.2;26075;1;;94;;;5.93
21;13.6;22438;0;;93;;;5.18
22.5;13;21739;5.8;;94;;;5.06
26;12;22214;0;;95;;;5.89
32.7;15;27510;0;;91;;;8.15
31;18.6;31283;0;;73;;;8.61
26;15.3;25987;0;;91;;;6.5
24.7;16;17640;11.6;;94;;;4.47
23.4;15;17758;0;;94;;;4.34
25;16.8;15406;0;;94;;;4.61
26;15.3;22693;0;;91;;;6.13
30;17;24923;0;;88;;;6.93
30.4;20;30883;0;;93;;;8
25;17;15161;0.6;;94;;;4.49
24;16;26200;3.8;;93;;;6
23;16.7;18674;0;;94;;;4.59
24;15;24657;0;;95;;;5.7
24.3;16;23825;5.6;;93;;;5.76
28;13;31167;0;;94;;;7.73
28.3;15.5;28264;0;;80;;;7.46
29;15;28250;0;;88;;;7.55
28;18;26124;0.4;;90;;;6.87
25;16.4;17079;11.2;;94;;;4.48
25;14;24686;0;;94;;;5.91
28.6;15.7;26544;0.2;;94;;;7.01
24.7;17.4;26760;1;;92;;;6.36
26;14.4;30050;0.4;;93;;;7.03
25;16;20279;0;;92;;;5.26
26;15;27282;0;;93;;;6.29
25;14;23982;0;;95;;;5.78
26.2;14.5;27350;0;;94;;;6.51
25;16;26155;0;;93;;;6.2
25;18;27296;0;;93;;;6.31
24.4;17;27027;0;;94;;;6.13
27;15;27121;0;;93;;;6.41
27;17;27440;0.2;;94;;;6.74
30;15.7;28340;0;;93;;;7.46
30;15;27956;0;;93;;;7.49
28;19.7;26290;0;;93;;;6.32
30;19;27534;0;;93;;;7.31
33;18;29924;0;;93;;;8.17
32;22;26759;0;;92;;;7.5
29;21;25906;0;;93;;;6.55
31;19;23662;0;;94;;;6.9
31;19;26750;0;;93;;;7.28
30;19;25894;0;;94;;;6.76
31;19;26774;0;;93;;;7.32
32;17;29448;0;;94;;;7.76
30;19.2;28044;0.2;;94;;;7.13
